ScheduleYearName,EndMonth,EndDay,ScheduleWk,ScheduleWeekName,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Hol,HtgDD,ClgDD
ResidentialLivingWtrHtrSetpt,12,31,ResidentialLivingWtrHtrSetptWk,ResidentialLivingWtrHtrSetptWk,ResidentialLivingWtrHtrSetptWD,ResidentialLivingWtrHtrSetptWD,ResidentialLivingWtrHtrSetptWD,ResidentialLivingWtrHtrSetptWD,ResidentialLivingWtrHtrSetptWD,ResidentialLivingWtrHtrSetptSat,ResidentialLivingWtrHtrSetptSun,ResidentialLivingWtrHtrSetptSun,ResidentialLivingWtrHtrSetptWD,ResidentialLivingWtrHtrSetptWD
ResidentialLivingElevator,12,31,ResidentialLivingElevatorWk,ResidentialLivingElevatorWk,ResidentialLivingElevatorWD,ResidentialLivingElevatorWD,ResidentialLivingElevatorWD,ResidentialLivingElevatorWD,ResidentialLivingElevatorWD,ResidentialLivingElevatorSat,ResidentialLivingElevatorSun,ResidentialLivingElevatorSun,OffDay,OnDay
ResidentialLivingEscalator,12,31,ResidentialLivingEscalatorWk,ResidentialLivingEscalatorWk,ResidentialLivingEscalatorWD,ResidentialLivingEscalatorWD,ResidentialLivingEscalatorWD,ResidentialLivingEscalatorWD,ResidentialLivingEscalatorWD,ResidentialLivingEscalatorSat,ResidentialLivingEscalatorSun,ResidentialLivingEscalatorSun,OffDay,OnDay
ResidentialLivingRefrigeration,12,31,ResidentialLivingRefrigerationWk,ResidentialLivingRefrigerationWk,ResidentialLivingRefrigerationWD,ResidentialLivingRefrigerationWD,ResidentialLivingRefrigerationWD,ResidentialLivingRefrigerationWD,ResidentialLivingRefrigerationWD,ResidentialLivingRefrigerationSat,ResidentialLivingRefrigerationSun,ResidentialLivingRefrigerationSun,ResidentialLivingRefrigerationSun,ResidentialLivingRefrigerationWD
RestaurantOccupancy,12,31,RestaurantOccupancyWk,RestaurantOccupancyWk,RestaurantOccupancyWD,RestaurantOccupancyWD,RestaurantOccupancyWD,RestaurantOccupancyWD,RestaurantOccupancyWD,RestaurantOccupancySat,RestaurantOccupancySun,RestaurantOccupancySun,OffDay,OnDay
RestaurantLights,12,31,RestaurantLightsWk,RestaurantLightsWk,RestaurantLightsWD,RestaurantLightsWD,RestaurantLightsWD,RestaurantLightsWD,RestaurantLightsWD,RestaurantLightsSat,RestaurantLightsSun,RestaurantLightsSun,OffDay,OnDay
RestaurantReceptacle,12,31,RestaurantReceptacleWk,RestaurantReceptacleWk,RestaurantReceptacleWD,RestaurantReceptacleWD,RestaurantReceptacleWD,RestaurantReceptacleWD,RestaurantReceptacleWD,RestaurantReceptacleSat,RestaurantReceptacleSun,RestaurantReceptacleSun,OffDay,OnDay
RestaurantHVACAvail,12,31,RestaurantHVACAvailWk,RestaurantHVACAvailWk,RestaurantHVACAvailWD,RestaurantHVACAvailWD,RestaurantHVACAvailWD,RestaurantHVACAvailWD,RestaurantHVACAvailWD,RestaurantHVACAvailSat,RestaurantHVACAvailSun,RestaurantHVACAvailSun,OnDay,OnDay
RestaurantServiceHotWater,12,31,RestaurantServiceHotWaterWk,RestaurantServiceHotWaterWk,RestaurantServiceHotWaterWD,RestaurantServiceHotWaterWD,RestaurantServiceHotWaterWD,RestaurantServiceHotWaterWD,RestaurantServiceHotWaterWD,RestaurantServiceHotWaterSat,RestaurantServiceHotWaterSun,RestaurantServiceHotWaterSun,OffDay,OnDay
RestaurantElevator,12,31,RestaurantElevatorWk,RestaurantElevatorWk,RestaurantElevatorWD,RestaurantElevatorWD,RestaurantElevatorWD,RestaurantElevatorWD,RestaurantElevatorWD,RestaurantElevatorSat,RestaurantElevatorSun,RestaurantElevatorSun,OffDay,OnDay
RestaurantExhaustHoodEqualOrLessThan5000cfm,12,31,RestaurantExhaustHoodEqualOrLessThan5000cfmWk,RestaurantExhaustHoodEqualOrLessThan5000cfmWk,RestaurantExhaustHoodEqualOrLessThan5000cfmWD,RestaurantExhaustHoodEqualOrLessThan5000cfmWD,RestaurantExhaustHoodEqualOrLessThan5000cfmWD,RestaurantExhaustHoodEqualOrLessThan5000cfmWD,RestaurantExhaustHoodEqualOrLessThan5000cfmWD,RestaurantExhaustHoodEqualOrLessThan5000cfmSat,RestaurantExhaustHoodEqualOrLessThan5000cfmSun,RestaurantExhaustHoodEqualOrLessThan5000cfmSun,RestaurantExhaustHoodEqualOrLessThan5000cfmSun,RestaurantExhaustHoodEqualOrLessThan5000cfmWD
RestaurantExhaustHoodGreaterThan5000cfm,12,31,RestaurantExhaustHoodGreaterThan5000cfmWk,RestaurantExhaustHoodGreaterThan5000cfmWk,RestaurantExhaustHoodGreaterThan5000cfmWD,RestaurantExhaustHoodGreaterThan5000cfmWD,RestaurantExhaustHoodGreaterThan5000cfmWD,RestaurantExhaustHoodGreaterThan5000cfmWD,RestaurantExhaustHoodGreaterThan5000cfmWD,RestaurantExhaustHoodGreaterThan5000cfmSat,RestaurantExhaustHoodGreaterThan5000cfmSun,RestaurantExhaustHoodGreaterThan5000cfmSun,RestaurantExhaustHoodGreaterThan5000cfmSun,RestaurantExhaustHoodGreaterThan5000cfmWD
RestaurantRefrigeration,12,31,RestaurantRefrigerationWk,RestaurantRefrigerationWk,RestaurantRefrigerationWD,RestaurantRefrigerationWD,RestaurantRefrigerationWD,RestaurantRefrigerationWD,RestaurantRefrigerationWD,RestaurantRefrigerationSat,RestaurantRefrigerationSun,RestaurantRefrigerationSun,RestaurantRefrigerationSun,RestaurantRefrigerationWD
RestaurantGasEquip,12,31,RestaurantGasEquipWk,RestaurantGasEquipWk,RestaurantGasEquipWD,RestaurantGasEquipWD,RestaurantGasEquipWD,RestaurantGasEquipWD,RestaurantGasEquipWD,RestaurantGasEquipSat,RestaurantGasEquipSun,RestaurantGasEquipSun,OffDay,OnDay
RestaurantHtgSetpt,12,31,RestaurantHtgSetptWk,RestaurantHtgSetptWk,RestaurantHtgSetptWD,RestaurantHtgSetptWD,RestaurantHtgSetptWD,RestaurantHtgSetptWD,RestaurantHtgSetptWD,RestaurantHtgSetptSat,RestaurantHtgSetptSun,RestaurantHtgSetptSun,RestaurantHtgSetptWD,RestaurantHtgSetptWD
RestaurantClgSetpt,12,31,RestaurantClgSetptWk,RestaurantClgSetptWk,RestaurantClgSetptWD,RestaurantClgSetptWD,RestaurantClgSetptWD,RestaurantClgSetptWD,RestaurantClgSetptWD,RestaurantClgSetptSat,RestaurantClgSetptSun,RestaurantClgSetptSun,RestaurantClgSetptWD,RestaurantClgSetptWD
RestaurantInfiltration,12,31,RestaurantInfiltrationWk,RestaurantInfiltrationWk,RestaurantInfiltrationWD,RestaurantInfiltrationWD,RestaurantInfiltrationWD,RestaurantInfiltrationWD,RestaurantInfiltrationWD,RestaurantInfiltrationSat,RestaurantInfiltrationSun,RestaurantInfiltrationSun,RestaurantInfiltrationWD,RestaurantInfiltrationWD
RestaurantWtrHtrSetpt,12,31,RestaurantWtrHtrSetptWk,RestaurantWtrHtrSetptWk,RestaurantWtrHtrSetptWD,RestaurantWtrHtrSetptWD,RestaurantWtrHtrSetptWD,RestaurantWtrHtrSetptWD,RestaurantWtrHtrSetptWD,RestaurantWtrHtrSetptSat,RestaurantWtrHtrSetptSun,RestaurantWtrHtrSetptSun,RestaurantWtrHtrSetptWD,RestaurantWtrHtrSetptWD
RestaurantEscalator,12,31,RestaurantEscalatorWk,RestaurantEscalatorWk,RestaurantEscalatorWD,RestaurantEscalatorWD,RestaurantEscalatorWD,RestaurantEscalatorWD,RestaurantEscalatorWD,RestaurantEscalatorSat,RestaurantEscalatorSun,RestaurantEscalatorSun,OffDay,OnDay
RetailOccupancy,12,31,RetailOccupancyWk,RetailOccupancyWk,RetailOccupancyWD,RetailOccupancyWD,RetailOccupancyWD,RetailOccupancyWD,RetailOccupancyWD,RetailOccupancySat,RetailOccupancySun,RetailOccupancySun,OffDay,OnDay
RetailLights,12,31,RetailLightsWk,RetailLightsWk,RetailLightsWD,RetailLightsWD,RetailLightsWD,RetailLightsWD,RetailLightsWD,RetailLightsSat,RetailLightsSun,RetailLightsSun,OffDay,OnDay
RetailReceptacle,12,31,RetailReceptacleWk,RetailReceptacleWk,RetailReceptacleWD,RetailReceptacleWD,RetailReceptacleWD,RetailReceptacleWD,RetailReceptacleWD,RetailReceptacleSat,RetailReceptacleSun,RetailReceptacleSun,OffDay,OnDay
RetailHVACAvail,12,31,RetailHVACAvailWk,RetailHVACAvailWk,RetailHVACAvailWD,RetailHVACAvailWD,RetailHVACAvailWD,RetailHVACAvailWD,RetailHVACAvailWD,RetailHVACAvailSat,RetailHVACAvailSun,RetailHVACAvailSun,OnDay,OnDay
RetailServiceHotWater,12,31,RetailServiceHotWaterWk,RetailServiceHotWaterWk,RetailServiceHotWaterWD,RetailServiceHotWaterWD,RetailServiceHotWaterWD,RetailServiceHotWaterWD,RetailServiceHotWaterWD,RetailServiceHotWaterSat,RetailServiceHotWaterSun,RetailServiceHotWaterSun,OffDay,OnDay
RetailElevator,12,31,RetailElevatorWk,RetailElevatorWk,RetailElevatorWD,RetailElevatorWD,RetailElevatorWD,RetailElevatorWD,RetailElevatorWD,RetailElevatorSat,RetailElevatorSun,RetailElevatorSun,OffDay,OnDay
RetailRefrigeration,12,31,RetailRefrigerationWk,RetailRefrigerationWk,RetailRefrigerationWD,RetailRefrigerationWD,RetailRefrigerationWD,RetailRefrigerationWD,RetailRefrigerationWD,RetailRefrigerationSat,RetailRefrigerationSun,RetailRefrigerationSun,RetailRefrigerationSun,RetailRefrigerationWD
RetailGasEquip,12,31,RetailGasEquipWk,RetailGasEquipWk,RetailGasEquipWD,RetailGasEquipWD,RetailGasEquipWD,RetailGasEquipWD,RetailGasEquipWD,RetailGasEquipSat,RetailGasEquipSun,RetailGasEquipSun,OffDay,OnDay
RetailHtgSetpt,12,31,RetailHtgSetptWk,RetailHtgSetptWk,RetailHtgSetptWD,RetailHtgSetptWD,RetailHtgSetptWD,RetailHtgSetptWD,RetailHtgSetptWD,RetailHtgSetptSat,RetailHtgSetptSun,RetailHtgSetptSun,RetailHtgSetptWD,RetailHtgSetptWD
RetailClgSetpt,12,31,RetailClgSetptWk,RetailClgSetptWk,RetailClgSetptWD,RetailClgSetptWD,RetailClgSetptWD,RetailClgSetptWD,RetailClgSetptWD,RetailClgSetptSat,RetailClgSetptSun,RetailClgSetptSun,RetailClgSetptWD,RetailClgSetptWD
RetailInfiltration,12,31,RetailInfiltrationWk,RetailInfiltrationWk,RetailInfiltrationWD,RetailInfiltrationWD,RetailInfiltrationWD,RetailInfiltrationWD,RetailInfiltrationWD,RetailInfiltrationSat,RetailInfiltrationSun,RetailInfiltrationSun,RetailInfiltrationWD,RetailInfiltrationWD
RetailEscalator,12,31,RetailEscalatorWk,RetailEscalatorWk,RetailEscalatorWD,RetailEscalatorWD,RetailEscalatorWD,RetailEscalatorWD,RetailEscalatorWD,RetailEscalatorSat,RetailEscalatorSun,RetailEscalatorSun,OffDay,OnDay
RetailWtrHtrSetpt,12,31,RetailWtrHtrSetptWk,RetailWtrHtrSetptWk,RetailWtrHtrSetptWD,RetailWtrHtrSetptWD,RetailWtrHtrSetptWD,RetailWtrHtrSetptWD,RetailWtrHtrSetptWD,RetailWtrHtrSetptSat,RetailWtrHtrSetptSun,RetailWtrHtrSetptSun,RetailWtrHtrSetptWD,RetailWtrHtrSetptWD
SchoolOccupancy,12,31,SchoolOccupancyWk,SchoolOccupancyWk,SchoolOccupancyWD,SchoolOccupancyWD,SchoolOccupancyWD,SchoolOccupancyWD,SchoolOccupancyWD,SchoolOccupancySat,SchoolOccupancySun,SchoolOccupancySun,OffDay,OnDay
SchoolLights,12,31,SchoolLightsWk,SchoolLightsWk,SchoolLightsWD,SchoolLightsWD,SchoolLightsWD,SchoolLightsWD,SchoolLightsWD,SchoolLightsSat,SchoolLightsSun,SchoolLightsSun,OffDay,OnDay
SchoolReceptacle,12,31,SchoolReceptacleWk,SchoolReceptacleWk,SchoolReceptacleWD,SchoolReceptacleWD,SchoolReceptacleWD,SchoolReceptacleWD,SchoolReceptacleWD,SchoolReceptacleSat,SchoolReceptacleSun,SchoolReceptacleSun,OffDay,OnDay
SchoolHVACAvail,12,31,SchoolHVACAvailWk,SchoolHVACAvailWk,SchoolHVACAvailWD,SchoolHVACAvailWD,SchoolHVACAvailWD,SchoolHVACAvailWD,SchoolHVACAvailWD,SchoolHVACAvailSat,SchoolHVACAvailSun,SchoolHVACAvailSun,OnDay,OnDay
SchoolServiceHotWater,12,31,SchoolServiceHotWaterWk,SchoolServiceHotWaterWk,SchoolServiceHotWaterWD,SchoolServiceHotWaterWD,SchoolServiceHotWaterWD,SchoolServiceHotWaterWD,SchoolServiceHotWaterWD,SchoolServiceHotWaterSat,SchoolServiceHotWaterSun,SchoolServiceHotWaterSun,OffDay,OnDay
SchoolElevator,12,31,SchoolElevatorWk,SchoolElevatorWk,SchoolElevatorWD,SchoolElevatorWD,SchoolElevatorWD,SchoolElevatorWD,SchoolElevatorWD,SchoolElevatorSat,SchoolElevatorSun,SchoolElevatorSun,OffDay,OnDay
SchoolRefrigeration,12,31,SchoolRefrigerationWk,SchoolRefrigerationWk,SchoolRefrigerationWD,SchoolRefrigerationWD,SchoolRefrigerationWD,SchoolRefrigerationWD,SchoolRefrigerationWD,SchoolRefrigerationSat,SchoolRefrigerationSun,SchoolRefrigerationSun,SchoolRefrigerationSun,SchoolRefrigerationWD
SchoolGasEquip,12,31,SchoolGasEquipWk,SchoolGasEquipWk,SchoolGasEquipWD,SchoolGasEquipWD,SchoolGasEquipWD,SchoolGasEquipWD,SchoolGasEquipWD,SchoolGasEquipSat,SchoolGasEquipSun,SchoolGasEquipSun,OffDay,OnDay
SchoolHtgSetpt,12,31,SchoolHtgSetptWk,SchoolHtgSetptWk,SchoolHtgSetptWD,SchoolHtgSetptWD,SchoolHtgSetptWD,SchoolHtgSetptWD,SchoolHtgSetptWD,SchoolHtgSetptSat,SchoolHtgSetptSun,SchoolHtgSetptSun,SchoolHtgSetptWD,SchoolHtgSetptWD
SchoolClgSetpt,12,31,SchoolClgSetptWk,SchoolClgSetptWk,SchoolClgSetptWD,SchoolClgSetptWD,SchoolClgSetptWD,SchoolClgSetptWD,SchoolClgSetptWD,SchoolClgSetptSat,SchoolClgSetptSun,SchoolClgSetptSun,SchoolClgSetptWD,SchoolClgSetptWD
SchoolInfiltration,12,31,SchoolInfiltrationWk,SchoolInfiltrationWk,SchoolInfiltrationWD,SchoolInfiltrationWD,SchoolInfiltrationWD,SchoolInfiltrationWD,SchoolInfiltrationWD,SchoolInfiltrationSat,SchoolInfiltrationSun,SchoolInfiltrationSun,SchoolInfiltrationWD,SchoolInfiltrationWD
SchoolWtrHtrSetpt,12,31,SchoolWtrHtrSetptWk,SchoolWtrHtrSetptWk,SchoolWtrHtrSetptWD,SchoolWtrHtrSetptWD,SchoolWtrHtrSetptWD,SchoolWtrHtrSetptWD,SchoolWtrHtrSetptWD,SchoolWtrHtrSetptSat,SchoolWtrHtrSetptSun,SchoolWtrHtrSetptSun,SchoolWtrHtrSetptWD,SchoolWtrHtrSetptWD
SchoolEscalator,12,31,SchoolEscalatorWk,SchoolEscalatorWk,SchoolEscalatorWD,SchoolEscalatorWD,SchoolEscalatorWD,SchoolEscalatorWD,SchoolEscalatorWD,SchoolEscalatorSat,SchoolEscalatorSun,SchoolEscalatorSun,OffDay,OnDay
WarehouseOccupancy,12,31,WarehouseOccupancyWk,WarehouseOccupancyWk,WarehouseOccupancyWD,WarehouseOccupancyWD,WarehouseOccupancyWD,WarehouseOccupancyWD,WarehouseOccupancyWD,WarehouseOccupancySat,WarehouseOccupancySun,WarehouseOccupancySun,OffDay,OnDay
WarehouseLights,12,31,WarehouseLightsWk,WarehouseLightsWk,WarehouseLightsWD,WarehouseLightsWD,WarehouseLightsWD,WarehouseLightsWD,WarehouseLightsWD,WarehouseLightsSat,WarehouseLightsSun,WarehouseLightsSun,OffDay,OnDay
WarehouseReceptacle,12,31,WarehouseReceptacleWk,WarehouseReceptacleWk,WarehouseReceptacleWD,WarehouseReceptacleWD,WarehouseReceptacleWD,WarehouseReceptacleWD,WarehouseReceptacleWD,WarehouseReceptacleSat,WarehouseReceptacleSun,WarehouseReceptacleSun,OffDay,OnDay
WarehouseHVACAvail,12,31,WarehouseHVACAvailWk,WarehouseHVACAvailWk,WarehouseHVACAvailWD,WarehouseHVACAvailWD,WarehouseHVACAvailWD,WarehouseHVACAvailWD,WarehouseHVACAvailWD,WarehouseHVACAvailSat,WarehouseHVACAvailSun,WarehouseHVACAvailSun,OnDay,OnDay
WarehouseServiceHotWater,12,31,WarehouseServiceHotWaterWk,WarehouseServiceHotWaterWk,WarehouseServiceHotWaterWD,WarehouseServiceHotWaterWD,WarehouseServiceHotWaterWD,WarehouseServiceHotWaterWD,WarehouseServiceHotWaterWD,WarehouseServiceHotWaterSat,WarehouseServiceHotWaterSun,WarehouseServiceHotWaterSun,OffDay,OnDay
WarehouseElevator,12,31,WarehouseElevatorWk,WarehouseElevatorWk,WarehouseElevatorWD,WarehouseElevatorWD,WarehouseElevatorWD,WarehouseElevatorWD,WarehouseElevatorWD,WarehouseElevatorSat,WarehouseElevatorSun,WarehouseElevatorSun,OffDay,OnDay
WarehouseRefrigeration,12,31,WarehouseRefrigerationWk,WarehouseRefrigerationWk,WarehouseRefrigerationWD,WarehouseRefrigerationWD,WarehouseRefrigerationWD,WarehouseRefrigerationWD,WarehouseRefrigerationWD,WarehouseRefrigerationSat,WarehouseRefrigerationSun,WarehouseRefrigerationSun,WarehouseRefrigerationSun,WarehouseRefrigerationWD
WarehouseHtgSetpt,12,31,WarehouseHtgSetptWk,WarehouseHtgSetptWk,WarehouseHtgSetptWD,WarehouseHtgSetptWD,WarehouseHtgSetptWD,WarehouseHtgSetptWD,WarehouseHtgSetptWD,WarehouseHtgSetptSat,WarehouseHtgSetptSun,WarehouseHtgSetptSun,WarehouseHtgSetptWD,WarehouseHtgSetptWD
WarehouseClgSetpt,12,31,WarehouseClgSetptWk,WarehouseClgSetptWk,WarehouseClgSetptWD,WarehouseClgSetptWD,WarehouseClgSetptWD,WarehouseClgSetptWD,WarehouseClgSetptWD,WarehouseClgSetptSat,WarehouseClgSetptSun,WarehouseClgSetptSun,WarehouseClgSetptWD,WarehouseClgSetptWD
WarehouseInfiltration,12,31,WarehouseInfiltrationWk,WarehouseInfiltrationWk,WarehouseInfiltrationWD,WarehouseInfiltrationWD,WarehouseInfiltrationWD,WarehouseInfiltrationWD,WarehouseInfiltrationWD,WarehouseInfiltrationSat,WarehouseInfiltrationSun,WarehouseInfiltrationSun,WarehouseInfiltrationWD,WarehouseInfiltrationWD
WarehouseEscalator,12,31,WarehouseEscalatorWk,WarehouseEscalatorWk,WarehouseEscalatorWD,WarehouseEscalatorWD,WarehouseEscalatorWD,WarehouseEscalatorWD,WarehouseEscalatorWD,WarehouseEscalatorSat,WarehouseEscalatorSun,WarehouseEscalatorSun,OffDay,OnDay
WarehouseWtrHtrSetpt,12,31,WarehouseWtrHtrSetptWk,WarehouseWtrHtrSetptWk,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptSat,WarehouseWtrHtrSetptSun,WarehouseWtrHtrSetptSun,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptWD
WarehouseGasEquip,12,31,WarehouseGasEquipWk,WarehouseGasEquipWk,WarehouseGasEquipWD,WarehouseGasEquipWD,WarehouseGasEquipWD,WarehouseGasEquipWD,WarehouseGasEquipWD,WarehouseGasEquipSat,WarehouseGasEquipSun,WarehouseGasEquipSun,OffDay,OnDay
